mode,samples_ms,median_ms,p99_ms
baseline,"[78.433056, 75.461261, 80.912621, 81.859575, 73.960306, 80.155871, 81.827118, 74.708859, 83.067332, 76.678992, 75.63115, 78.124362, 78.950992, 95.574342, 76.877007, 82.708878, 75.749638, 74.10589, 81.977196, 76.077973, 74.008492, 77.377316, 81.01002, 88.960831]",78.27870899999999,94.05323447
with_storage,"[86.165603, 99.649427, 88.651424, 81.701128, 77.47348, 80.363233, 70.691779, 79.805733, 77.806566, 80.039028, 76.628627, 79.321359, 74.361017, 78.656279, 78.946131, 76.185751, 79.61539, 73.526769, 77.96151, 77.771074, 76.815451, 106.197904, 86.443926, 70.291335]",78.801205,104.69175428999999
