mode,trial,duration_s,engine,count,p50_ms,p95_ms,p99_ms,mean_ms,stdev_ms
yolov8:inference_only,0,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3930,0.8434820920228958,0.9162877220660448,1.0814527329057455,0.8594164781215536,0.048219308412232195
yolov8:inference_only,1,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3971,0.8372310549020767,0.8983239531517029,0.9160312823951244,0.8448445714505456,0.03563411730928294
yolov8:inference_only,2,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3965,0.8300933986902237,0.8929327130317688,0.9111105278134346,0.8389747016892908,0.0405821916695446
yolov8:cpu_only,0,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3969,0.834527425467968,0.893872044980526,0.9102912992238998,0.8424122532246304,0.03213095843761147
yolov8:cpu_only,1,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3958,0.83199143409729,0.904399435967207,0.9206379484385252,0.8454583933508234,0.11871612037553254
yolov8:cpu_only,2,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3987,0.8274633437395096,0.8906237781047821,0.9114225022494793,0.8431043784672048,0.1660239462910172
yolov8:gpu_only,0,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,2151,0.9388523176312447,4.8615094274282455,5.458448547869921,1.4227985429111218,1.1061918915300946
yolov8:gpu_only,1,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,2109,0.9016674011945724,4.784870520234108,4.9503616988658905,1.3842366718819155,1.1136323784554791
yolov8:gpu_only,2,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,2142,0.9464025497436523,3.0032275710254908,3.959701070562005,1.3029659688681448,0.8068763515420961
yolov8:adaptive,0,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3134,0.834356527775526,2.637804299592972,2.804909572005272,1.0276252998784423,0.5108675985065225
yolov8:adaptive,1,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3143,0.8291760459542274,2.639871556311846,2.853055540472269,1.0193703655240038,0.5410761922793778
yolov8:adaptive,2,5,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,3084,0.8349674753844738,2.6405971962958574,2.8414591774344444,1.039116863214475,0.5440933710707466
