mode,samples_ms,median_ms,p95_ms
writer_a,"[4.824704, 3.734732, 3.198796, 6.044102]",4.279718,5.861192299999999
writer_b,"[2.585269, 2.405583, 2.845769, 4.194741]",2.715519,3.9923951999999994
