mode,size,samples_ms,median_ms,p95_ms
baseline,131072,"[3.147825, 1.891852, 1.77525, 1.61675, 1.701453, 1.649055, 1.630611, 1.880148, 1.57026, 1.594907, 1.571871, 1.6215, 1.598824, 1.611269, 1.610889, 1.689083, 1.86438, 1.746445, 1.633454, 1.589797]",1.6320325,1.95465065
cpu_contention,131072,"[2.377787, 1.943306, 1.81938, 1.693657, 1.662361, 1.626611, 1.534741, 1.622658, 1.605796, 1.575435, 1.573574, 1.554815, 1.568157, 1.511417, 1.542065, 1.551574, 1.567417, 1.583861, 1.570075, 1.575973]",1.575704,1.96503005
