tier,requested_mode,actual_mode,sync_mode,fallback_error,integrity_check,samples_ms,median_ms,p95_ms,error
full,WAL,WAL,FULL,,ok,"[0.45912, 0.440833, 1.083111, 0.983556, 0.404686, 0.420167, 0.40225, 0.421602, 0.400388, 0.440259, 0.397111, 0.428305, 0.390898, 0.397111, 0.398231, 0.395482, 0.408879, 0.392611, 0.394732, 0.451722]",0.4067825,0.9885337499999999,
plain,WAL,WAL,FULL,,ok,"[1.018898, 0.978935, 0.415537, 0.390805, 0.401963, 0.446852, 0.447018, 0.39013, 0.850084, 0.86625, 0.397824, 0.389287, 0.39613, 0.388861, 0.40437, 0.389814, 0.389519, 0.38613, 0.392417, 0.435306]",0.3998935,0.98093315,
