mode,trial,duration_s,engine,count,p50_ms,p95_ms,p99_ms,mean_ms,stdev_ms
yolov8:inference_only,0,6,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,4745,0.8249161764979362,0.9991070255637169,1.0413509234786034,0.846336818485667,0.05573934284412368
yolov8:cpu_only,0,6,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,4767,0.832362100481987,0.8944226428866386,0.9117248095571995,0.8402714458512439,0.02746455621654555
yolov8:gpu_only,0,6,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,2706,0.8553746156394482,3.9814277552068233,4.928612848743796,1.278167628013396,0.9794969127911847
yolov8:adaptive,0,6,/home/thor/skim/pqc_encrpyted_fs/artifacts/yolov8n.plan,2702,0.8564679883420467,3.9554378017783165,4.937501326203346,1.290790887299972,0.9903719415830557
