time_s,throughput_mbps
0.006006479263305664,166.5067090115125
0.021245718002319336,214.97124698887808
0.036200523376464844,231.9858407079646
0.05137133598327637,218.180607573866
0.06598830223083496,239.25069876219268
0.08070683479309082,233.02983499083282
0.09543275833129883,234.67263470038606
0.11016297340393066,234.56764163078128
0.12477779388427734,240.6232574149504
0.13936328887939453,242.79617945007237
0.1547837257385254,201.34914310402766
0.1693558692932129,243.2326606355834
0.18427205085754395,224.53447537473232
0.19887351989746094,241.31545940970025
0.21369361877441406,229.63613468382152
0.22941136360168457,190.10578797081087
0.2440202236175537,240.87199218974328
0.25867486000061035,238.61099101149165
0.27356624603271484,225.1008425911018
0.28821587562561035,238.1097927902356
0.3030202388763428,229.78710348983728
0.3189220428466797,184.13029544756134
0.33386826515197754,226.78042714247093
0.3493771553039551,204.21169482448025
0.3639638423919678,242.82429224801714
0.37877488136291504,229.79969318430858
0.3934938907623291,234.6857654431513
0.4082331657409668,233.4578648558388
0.42337632179260254,213.59189285532415
0.438030481338501,238.58384527872582
0.4526522159576416,238.6381429221666
0.46717262268066406,246.13015668094596
0.4822208881378174,217.43411093831
0.4967794418334961,241.80237518736308
0.5113792419433594,241.17670059226037
0.5265285968780518,212.8872195716171
0.5415234565734863,220.30064604233417
0.5560972690582275,241.31545940970025
0.5708980560302734,232.06285271660948
0.5854535102844238,244.53731343283582
0.6003069877624512,227.33355013550135
0.6161112785339355,186.52127896117756
0.6306502819061279,245.4388202937562
0.6458680629730225,210.5045922208281
0.6618075370788574,182.30555917764158
0.6763734817504883,244.73707550472633
0.6913352012634277,221.46385764823907
0.706031322479248,236.63210155148096
0.7206141948699951,242.24927804089177
0.7374019622802734,157.82299819385912
0.7529420852661133,196.21556886227546
0.768517255783081,195.22010705143123
0.7834906578063965,221.6042690336556
0.7988612651824951,203.32076203402977
0.8135805130004883,231.21852260198457
0.8283064365386963,235.2385866517106
0.8429245948791504,240.113579116098
0.8577921390533447,226.2543963750135
0.8724884986877441,238.51600796133067
0.8870794773101807,241.50999021132031
0.9026484489440918,195.32920411679783
0.9173214435577393,237.43583356920465
0.9319837093353271,237.73190500481778
0.9465346336364746,244.50880261163576
0.9610810279846191,244.49454969396677
0.9767615795135498,191.19770251173816
0.9914002418518066,239.56499885766507
1.006789207458496,202.6135935462055
1.0213913917541504,241.25993672706355
1.036147117614746,233.13345561669723
1.050966501235962,229.30971516046142
1.0655877590179443,241.98373045635492
1.0802080631256104,240.87199218974328
1.0946605205535889,250.01812112541725
1.1100959777832031,200.65559967468783
1.1259725093841553,184.00912520838818
1.1403260231018066,256.3598802029216
1.1549246311187744,241.17670059226037
1.1694931983947754,243.2608746085141
1.1841187477111816,239.82526159300133
1.1986184120178223,247.7438865918488
1.2135124206542969,225.1370907139023
1.2280433177947998,245.0373313080563
1.2426159381866455,242.83835108846688
1.2570888996124268,248.4188580904999
1.2715373039245605,249.73527835665377
1.2870981693267822,195.7211385907606
1.3016610145568848,243.86906215477643
1.316338062286377,236.69887133182843
1.3308422565460205,247.8170753323486
1.3459665775299072,214.2246284284182
1.3605985641479492,239.48292794335958
1.3754379749298096,227.76562584849307
1.389965534210205,245.09460643954887
1.4046387672424316,236.63210155148096
1.4192156791687012,242.48736775163323
1.4343769550323486,212.44511978929242
1.450380802154541,181.38315170385746
1.465106725692749,235.64829484802516
1.4798684120178223,233.6008911166806
1.4959485530853271,177.81516025097508
1.5105977058410645,240.66467753041084
1.5257303714752197,213.71160705186998
1.540358543395996,239.592368330858
1.5551812648773193,229.95087719298246
1.5699915885925293,229.68643557307925
1.5846712589263916,237.2746506760197
1.599893569946289,210.0197286064794
1.6146173477172852,234.4758497316637
1.6295139789581299,225.5729805313542
1.6441950798034668,237.18072834200407
1.6587841510772705,242.48736775163323
1.6734344959259033,238.78758895530885
1.688016653060913,242.15137694128515
1.7026951313018799,236.9529405118355
1.7176475524902344,222.71034885573195
1.7322592735290527,242.81023503531318
1.746833324432373,242.43130454887
1.762834072113037,180.64880696011716
1.7774121761322021,243.06351414000926
1.7923064231872559,225.62151694459388
1.8074791431427002,212.0906148867314
1.82222318649292,234.94868922249609
1.836881160736084,238.9780639279813
1.851459264755249,243.92579238150626
1.8666043281555176,214.19180880400367
